Key,Practice,Area,Knowledge,Data_Munging,Data_Ingestion,Visualisation,Statistics,Machine_Learning,Text_Mining,Big_Data,Python,R,Hadoop
1,Analytics,Data Munging,4.Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,5 - Extensive knowledge,4 - Substantial knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
2,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
3,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
4,Analytics,Data Munging,4.Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge
5,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
6,Analytics,Data Munging,4.Substantial knowledge,4 - Substantial knowledge,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
7,Analytics,Data Munging,2.Limited knowledge,2 - Limited knowledge ,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge
8,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge
9,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge
10,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
11,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
12,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
13,Customer Experience,Data Munging,3.Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,4 - Substantial knowledge,2 - Limited knowledge
14,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
15,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,3 - Moderate knowledge,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge
16,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,2 - Limited knowledge,5 - Extensive knowledge,3 - Moderate knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,3 - Moderate knowledge,4 - Substantial knowledge
17,Analytics,Data Munging,2.Limited knowledge,2 - Limited knowledge ,2 - Limited knowledge,4 - Substantial knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
18,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
19,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
20,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,4 - Substantial knowledge,3 - Moderate knowledge,4 - Substantial knowledge,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,2 - Limited knowledge
21,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,3 - Moderate knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
22,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge
23,Analytics,Data Munging,3.Moderate knowledge,3 - Moderate knowledge,4 - Substantial knowledge,4 - Substantial knowledge,5 - Extensive knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,2 - Limited knowledge,4 - Substantial knowledge,2 - Limited knowledge
24,Analytics,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,1 - No knowledge,4 - Substantial knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
25,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,3 - Moderate knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
26,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,2 - Limited knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,3 - Moderate knowledge,3 - Moderate knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge
27,Customer Experience,Data Munging,1.No knowledge,1 - No knowledge ,1 - No knowledge,2 - Limited knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,2 - Limited knowledge,1 - No knowledge,1 - No knowledge,1 - No knowledge
