ag_key,estate,property,shares,property_risk,shares_risk,threshold,margin,risk_percent
1,320000,230000,45000,0.02173913,0.011111111,325000,0,0.05
2,32300,3231,0,90.59114825,NULL,325000,0,0.05
3,95000,95000,0,2.421052632,NULL,325000,0,0.05
4,325000,325000,0,0,NULL,325000,0,0.05
5,320302,320302,0,0.014667408,NULL,325000,0,0.05
6,274632,200000,50000,0.25184,0.100736,325000,0,0.05
7,5000,0,0,NULL,NULL,325000,0,0.05
8,83833,0,0,NULL,NULL,325000,0,0.05
9,120038,120038,0,1.707475966,NULL,325000,0,0.05
10,245690,0,0,NULL,NULL,325000,0,0.05
11,93921,43921,50000,5.261241775,0.462158,325000,0,0.05
12,287414,263690,21504,0.142538587,0.174786086,325000,0,0.05
13,212168,180595,154682,0.624779202,0.072944493,325000,0,0.05
14,32176,15085,26887,19.41160093,1.089091382,325000,0,0.05
15,250080,134026,96811,0.558996016,0.0773879,325000,0,0.05
16,39824,113071,79201,2.522096736,0.360066161,325000,0,0.05
17,83380,129588,151429,1.864524493,0.159559926,325000,0,0.05
18,15264,294062,11535,1.053301685,2.685184222,325000,0,0.05
19,217294,319981,179376,0.336601236,0.060044822,325000,0,0.05
20,23988,231848,80501,1.298316138,0.373923305,325000,0,0.05
21,72336,251968,111131,1.002762256,0.227356903,325000,0,0.05
22,319636,55688,140322,0.096322367,0.003822637,325000,0,0.05
23,302897,140525,29710,0.157288739,0.074395826,325000,0,0.05
24,245504,198575,85486,0.400332368,0.092993005,325000,0,0.05
25,302243,226123,7069,0.100639917,0.321926722,325000,0,0.05
26,165408,312869,109759,0.510092083,0.145402199,325000,0,0.05
27,104249,74660,29710,2.956750603,0.743019185,325000,0,0.05
28,37276,79668,70979,3.611537882,0.405364967,325000,0,0.05
29,2409,114362,40830,2.820788374,0.790083272,325000,0,0.05
30,39454,35229,36439,8.105424508,0.783627432,325000,0,0.05
31,113885,11188,11426,18.86977118,1.847671976,325000,0,0.05
32,102209,113223,75186,1.967718573,0.296319794,325000,0,0.05
33,256305,103797,196105,0.661820669,0.035029703,325000,0,0.05
34,112786,168878,42785,1.256611282,0.496000935,325000,0,0.05
35,76103,93458,164592,2.663196302,0.151220594,325000,0,0.05
36,149943,119721,59060,1.462207967,0.29640535,325000,0,0.05
37,200029,193096,108792,0.647196213,0.114871498,325000,0,0.05
38,176250,67739,55868,2.19592849,0.266252595,325000,0,0.05
39,83187,258517,29933,0.935385294,0.807847526,325000,0,0.05
40,166223,304064,94361,0.52218283,0.168265491,325000,0,0.05
